url,label
rebasa.tkpittman.com/new.swz?stock=&amp;I=WNSBBJG&amp;say=cqvUl5&amp;sometimes=AKp8Uh6&amp;small=-QdHDELF&amp;year=2xHCnl&amp;sit=Kpu&amp;performance=16HjI&amp;lose=-DsgIS,1
vitals.com/doctors/Dr_Cynthia_Wood_White.html,0
cimetierenotredamedesneiges.ca/en/research/famous.aspx,0
marching-band.net/cgi-bin/bands/rate.cgi?ID=wzkx-bitches-fuck-horses,0
songkick.com/artists/51417-patrick-fiori,0
eastlakesupport.com/images/US/fox/dropbox/index.php,1
petrzelenka.eu/,0
xdysb.com/lyb/?app=com-d3&amp;amp;us.battle.net/login/en/?ref=eu.battle.net/d3/en/index,1
www.controlyourbreath.com/pp/css_/img/webscr/cmd_/_/login_run/5309abf9cb1c02aa7b8709977606bceb,1
nickelodeon.wikia.com/wiki/Nickelodeon_Animation_Studios,0
www.ithaca.edu/seelogo,0
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7crvMrzmpdRU8_xBOO0Fp84JKtkVNQf8ntQTUAe9NFQ1qRSCijzwld3efTSQy7kReZOiu1kKU2azbAYT7c77pFiWahiVGrsUT2nxzo8Zg4vGeRNLvpdfUY_Zz7wBNSzYs4gUZL6fVL5V2IuDNEXZo-ovD_Pm0ANEYcTwLGKtCjOO4O74_QTPMJZe-YnYHnwEAcbH9khqL5c96e35FY8-a-dPu1rRaw\%3D\%3D&amp;attredirects=0',1
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cq3M-w_DPP5UVx7Qfn9Qek73Ip5jpsT05CsFRQhqLYL8P8_UXxWYwXZvjiYAd0IQZdORFOruyoWemOT4UDvQNAuSSYuzYErqSBg3CHbUwpSMyy8Oq_ul5IFmdgtXN4yWpQFi4Gn1onpGnqt6glleaUn1OCMq10T4w6QiFxppaT4-5byU7b6ZBWKoyQ77p9LiqkKE_uqHu0NBcKom-eoD1xmX8EFGg\%3D\%3D&amp;attredirects=0',1
femalewrestlingnow.com,1
familytreemaker.genealogy.com/users/w/a/t/Ian-S-Watkins/WEBSITE-0001/UHP-Index.html,0
saridity.com/wp-admin/network/upda/newbas/verif/index.php,1
pipl.com/directory/name/Hooper/Clarke,0
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cqTFLQiJfbQWP8jDnIcBBWNBhoya6kLJ073ff8mP0zRVK37GcCwc2BV1yZkHhLfkfffugxdswjCLQGhbRIqqYdZMZljtR_72PJELcFeIDRqCd4AYQf7Fc41tQS5QZY1j8XAxtwH1ai_61tJE9cGBf2E1Amol7ZEgq5GLSYMsFOdnoo8gyHl1q7VA2fJR1ILvdYfSBOdIhWkDZp_ivIB0WYJ3Q8A8w\%3D\%3D&amp;attredirects=0',1
www.sowlot.pl/https/www.paypal.com/nl/cgi-bin/webscrcmd=_login-run/,1
184.164.107.103/town11.pdf,1
